"青沥备开内靛","state.han.","city.han.","city2.han.","困档","版档","惯钎矫埃","浅氢","浅加","扁柯","嚼档","碍荐樊"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 17:00:00","辑","5.4","4.2","18","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 18:00:00","辑","4","2.7","19","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 19:00:00","辑","3.4","1.9","19","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 20:00:00","辑","3","0.8","21","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 21:00:00","合辑","3.5","0.1","21","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 22:00:00","合辑","4","-0.6","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-07 23:00:00","辑","4.3","-1.3","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 00:00:00","辑","4.7","-2.2","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 01:00:00","辑","3.3","-2.9","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 02:00:00","辑","3.6","-3.4","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 03:00:00","辑","2.8","-3.6","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 04:00:00","辑","3.8","-3.7","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 05:00:00","辑","4","-3.8","33","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 06:00:00","辑","4","-3.7","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 07:00:00","辑","3","-3.6","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 08:00:00","辑","2","-3.4","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 09:00:00","合辑","1.9","-2.2","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 10:00:00","合辑","1","-0.1","25","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 11:00:00","辑","2.2","0.6","21","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 13:00:00","合辑","1.3","3.8","19","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 14:00:00","辑","0.8","5","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 15:00:00","悼","0.9","4.9","17","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 16:00:00","巢","1","4.6","15","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 17:00:00","合辑","2.3","4.1","16","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 18:00:00","辑","2","2.8","16","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 19:00:00","辑","1.9","2.4","20","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 20:00:00","合辑","0.4","2.2","21","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 21:00:00","悼","0.1","1.6","23","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 22:00:00","合悼","1.3","0.8","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-08 23:00:00","辑","0.7","1.1","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-09 00:00:00","合悼","0.8","0.8","32","0"
