"青沥备开内靛","state.han.","city.han.","city2.han.","困档","版档","惯钎矫埃","浅氢","浅加","扁柯","嚼档","碍荐樊"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 17:00","合辑","0.4","-0.1","32","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 18:00","合","0","-1.6","43","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 19:00","合辑","0.4","-2.8","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 20:00","合辑","0.6","-3.8","49","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 21:00","合辑","2.9","-4.3","59","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 22:00","合辑","2.7","-4.6","63","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-07 23:00","合","0.7","-5","66","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 0:00","合辑","1.6","-5.3","65","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 1:00","合辑","1.3","-5.7","64","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 2:00","合辑","0.8","-6.2","65","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 3:00","辑","0.1","-6.6","64","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 4:00","合","0","-6.7","60","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 5:00","辑","0.2","-6.8","62","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 6:00","合辑","0","-7","60","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 7:00","合辑","0.7","-7.2","61","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 8:00","合","0","-6.9","60","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 9:00","合","0","-6.3","54","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 10:00","辑","0.2","-4.3","50","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 11:00","合","0.3","-2.9","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 13:00","辑","0.1","0","31","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 14:00","辑","0.4","1.2","26","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 15:00","合辑","0.6","1.5","24","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 16:00","合辑","0","1","26","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 17:00","合","0","0.1","29","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 18:00","合","0","-1.5","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 19:00","合","0","-1.1","41","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 20:00","合辑","0","-1.4","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 21:00","合","0","-1.7","44","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 22:00","合","0","-2","45","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-08 23:00","合","0.1","-2.2","53","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 0:00","合","0","-2.7","56","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 1:00","合辑","0.6","-2.7","55","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 2:00","合辑","2.1","-2.8","51","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 3:00","合","1.6","-3.3","58","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 4:00","合辑","0.8","-3.6","58","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 5:00","合辑","0.8","-3.6","59","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 6:00","合辑","0.3","-3.8","61","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 7:00","合","0.7","-4.1","63","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 8:00","合辑","1.3","-4.3","62","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 9:00","合辑","1.6","-4","63","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 10:00","合辑","3.6","-3.2","51","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 11:00","合辑","1.3","-1.6","40","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 12:00","合","1.6","-0.7","36","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 13:00","合","2.2","-0.3","39","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 14:00","合辑","0.9","-0.3","38","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 15:00","合","0.2","-0.2","33","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 16:00","合辑","0.4","-0.6","37","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 17:00","合","0.7","-2","38","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 18:00","合辑","0","-2.8","44","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 19:00","合辑","0.2","-3.8","51","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 20:00","合","0","-4.1","53","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 21:00","合","0","-4.4","52","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 22:00","合","0","-5.1","60","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-09 23:00","合","0","-5.2","57","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 0:00","合","0","-4.7","53","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 1:00","合","0","-4.9","57","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 2:00","合","0","-5.8","66","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 3:00","合","0","-6.3","76","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 4:00","合","0","-7.1","75","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 5:00","合","0","-7.2","79","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 6:00","合","0","-8","82","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 7:00","合","0","-8","82","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 8:00","合悼","0.2","-6.1","73","0"
4373000000,"面没合档","苛玫焙","-",36.30355,127.573633,"2019-02-10 9:00","合","0","-4.3","47","0"
