행정구역코드,state(han),city(han),city2(han),위도,경도,발표시간,풍향,풍속,기온,습도,강수량
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 00:00:00,북서,1.9,13.6,60,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 01:00:00,북,1.1,12.4,68,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 02:00:00,북서,1.2,11.2,72,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 03:00:00,북,1.3,10.9,59,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 04:00:00,북,1.5,8.3,77,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 05:00:00,북동,0.7,6.8,84,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 06:00:00,북,1.2,5.8,87,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 07:00:00,남,0.1,8,81,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 08:00:00,남동,0.6,12,67,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 09:00:00,서,2.1,13,47,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 10:00:00,남서,1.7,14.4,42,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 11:00:00,서,4.5,16.5,25,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 12:00:00,서,4.6,16.9,21,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 13:00:00,서,3.5,18.4,24,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 14:00:00,북서,3.4,18.8,15,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 15:00:00,북서,2.6,18.2,21,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 16:00:00,서,4.5,19.1,18,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 17:00:00,서,4,18.8,19,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 18:00:00,서,4.2,17.9,20,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 19:00:00,북서,1.4,15.7,30,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 20:00:00,북서,2.3,15,26,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 21:00:00,서,3.7,14.6,25,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 22:00:00,북서,3.4,13.8,22,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-01 23:00:00,북,0.7,9.3,44,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-02 00:00:00,북,0.7,6.7,59,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-02 01:00:00,북,1,5,66,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-02 02:00:00,북,0.7,4.1,72,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-02 03:00:00,북동,0.8,3.6,78,0
4772034000,경상북도,군위군,우보면,36.19203611,128.6640417,2022-05-02 04:00:00,북동,0.9,2.9,82,0
