青沥备开内靛,state(han),city(han),city2(han),困档,版档,惯钎矫埃,浅氢,浅加,扁柯,嚼档,碍荐樊
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 00:00:00,合辑,2.3,13.3,63,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 01:00:00,合,1.9,12.8,63,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 02:00:00,合悼,1.6,12.1,63,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 03:00:00,巢辑,1.5,11.7,64,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 04:00:00,合,3,10.7,67,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 05:00:00,辑,2.3,9.5,69,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 06:00:00,合辑,0.8,8.7,74,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 07:00:00,合辑,1.2,11,64,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 08:00:00,合辑,1,11.9,55,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 09:00:00,辑,1.1,13.9,46,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 10:00:00,合辑,3.4,14.9,35,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 11:00:00,合辑,3.7,16.9,26,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 12:00:00,合悼,4.7,17.3,23,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 13:00:00,合,3.7,19.5,26,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 14:00:00,合悼,4.9,19.3,23,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 15:00:00,辑,3.3,19.4,23,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 16:00:00,合,4.7,19.1,22,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 17:00:00,合辑,3.7,19,26,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 18:00:00,合辑,2.1,17.7,28,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 19:00:00,合辑,2.9,16.6,28,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 20:00:00,辑,1.9,15.2,28,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 21:00:00,辑,1.9,14.9,24,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 22:00:00,辑,1.7,13.6,29,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-01 23:00:00,辑,1.9,12.1,35,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 00:00:00,辑,1.6,11.7,35,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 01:00:00,辑,2.2,11.9,34,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 02:00:00,合辑,2.6,11,36,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 03:00:00,辑,2,10.6,35,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 04:00:00,辑,0.8,9.9,38,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 05:00:00,辑,0.3,7.7,52,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 06:00:00,合,0.5,7.3,55,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 07:00:00,巢,0.9,9.8,53,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 08:00:00,巢辑,1.5,12.5,46,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 09:00:00,辑,1.3,14.8,48,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 10:00:00,合辑,2.5,16.6,41,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 11:00:00,辑,3.3,17.2,30,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 12:00:00,合,3.3,18.2,30,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 13:00:00,合,3,20.2,21,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 14:00:00,悼,1.6,19.4,23,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 15:00:00,悼,1.6,19.7,26,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 16:00:00,辑,2,19.1,28,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 17:00:00,合,3.2,18.8,26,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 18:00:00,悼,3.3,16.6,36,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 19:00:00,巢悼,4.7,12.5,63,0
2723071500,措备堡开矫,合备,包巩悼,35.898672,128.544378,2022-05-02 20:00:00,合悼,4.8,10.2,82,1
