행정구역코드,state(han),city(han),city2(han),위도,경도,발표시간,풍향,풍속,기온,습도,강수량
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 00:00:00,북서,0.9,12.1,54,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 01:00:00,북서,1.7,11.4,60,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 02:00:00,서,1.4,11.3,51,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 03:00:00,남서,0.8,10.8,54,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 04:00:00,남,0.9,10.8,64,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 05:00:00,남서,0.6,9.7,67,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 06:00:00,남서,0.5,9.9,69,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 07:00:00,남,1.7,11,67,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 08:00:00,남,1.5,12.4,59,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 09:00:00,북서,1.2,13.7,53,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 10:00:00,북서,1.6,15.3,41,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 11:00:00,남서,4.1,17.2,24,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 12:00:00,남서,3.5,18,23,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 13:00:00,남서,5.6,17.9,21,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 14:00:00,서,4.1,18.1,21,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 15:00:00,남서,4.2,18.4,21,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 16:00:00,서,3.5,18.2,25,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 17:00:00,남서,3.9,16.8,29,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 18:00:00,서,2.7,16.2,33,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 19:00:00,남서,3.2,14.8,44,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 20:00:00,서,2.6,13.8,55,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 21:00:00,서,1.7,13.4,61,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 22:00:00,남서,1.6,12.9,66,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-01 23:00:00,서,0.8,12.3,71,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 00:00:00,남서,1.1,11.9,74,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 01:00:00,남서,1.6,11.8,76,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 02:00:00,남서,1.9,11.6,79,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 03:00:00,남,1.6,11.3,80,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 04:00:00,남서,1.5,10.9,83,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 05:00:00,남,1.1,10.9,85,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 06:00:00,남,0.9,10.7,87,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 07:00:00,서,1.9,10.6,87,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 08:00:00,남서,1,11.7,81,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 09:00:00,북동,1.2,13,76,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 10:00:00,북,1.3,14.3,58,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 11:00:00,북서,3.6,16.1,38,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 12:00:00,북서,4.4,16.8,31,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 13:00:00,북서,4.3,16.6,34,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 14:00:00,북서,4.8,17.2,31,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 15:00:00,북서,4.8,18.1,28,0
1144065500,서울특별시,마포구,서강동,37.544447,126.934156,2022-05-02 16:00:00,북서,4.4,18.1,28,0
