青沥备开内靛,state(han),city(han),city2(han),困档,版档,惯钎矫埃,浅氢,浅加,扁柯,嚼档,碍荐樊
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 00:00:00,合悼,2.5,10.9,69,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 01:00:00,合辑,1.5,10.1,72,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 02:00:00,悼,0.4,8.6,80,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 03:00:00,合辑,0.2,6.9,92,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 04:00:00,合辑,1,6,94,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 05:00:00,巢悼,0.3,4.6,96,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 06:00:00,巢悼,0.2,3.8,97,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 07:00:00,悼,0.2,5.3,96,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 08:00:00,合悼,0.1,8.9,85,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 09:00:00,辑,1,11.9,66,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 10:00:00,巢,1.4,13.6,50,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 11:00:00,巢悼,2.1,15.9,36,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 12:00:00,悼,2.4,17,34,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 13:00:00,合,2.4,17.6,34,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 14:00:00,合悼,2.2,17.9,28,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 15:00:00,悼,2.3,17.9,29,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 16:00:00,巢悼,2.1,18.7,24,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 17:00:00,悼,2.1,18.3,23,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 18:00:00,巢,1.5,16.5,26,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 19:00:00,辑,1.1,14.6,29,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 20:00:00,辑,1.2,12.8,33,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 21:00:00,辑,1.2,10.7,39,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 22:00:00,辑,0.5,8,58,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-01 23:00:00,合,0.5,6.3,68,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 00:00:00,巢,0.9,7.4,67,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 01:00:00,巢辑,1.2,10.7,58,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 02:00:00,巢,1.1,10.2,65,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 03:00:00,巢辑,0.7,8.8,76,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 04:00:00,巢悼,0.5,6.6,88,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 05:00:00,巢悼,0.2,6.5,92,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 06:00:00,合,0.1,5.5,95,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 07:00:00,合,0.1,7.8,89,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 08:00:00,悼,0.6,12.2,74,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 09:00:00,合悼,0.8,13.3,65,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 10:00:00,悼,1.6,15.1,54,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 11:00:00,合辑,1.7,15.9,36,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 12:00:00,合,2.6,17.7,28,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 13:00:00,合悼,1.6,17.7,29,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 14:00:00,合,1.1,18.1,28,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 15:00:00,合,1.8,17.5,28,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 16:00:00,合,2.9,16.5,33,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 17:00:00,合,2,16.5,37,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 18:00:00,合悼,1.5,15.8,32,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 19:00:00,合,0.9,13.5,43,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 20:00:00,合,0.9,10,54,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 21:00:00,悼,0.7,7.2,70,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 22:00:00,悼,0.3,6.7,72,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-02 23:00:00,巢悼,0.4,5.3,81,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 00:00:00,悼,0.5,4.5,87,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 01:00:00,巢悼,0.2,3.6,94,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 02:00:00,悼,0.4,3,96,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 03:00:00,巢悼,0.4,2.7,97,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 04:00:00,悼,0.2,1.9,97,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 05:00:00,悼,0.1,1.5,97,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 06:00:00,巢悼,0.1,1.8,98,0
4373034000,面没合档,苛玫焙,没己搁,36.324736,127.761986,2022-05-03 07:00:00,悼,0.3,3,99,0
