in_tm,in_serial,in_pm01_raw,in_pm25_raw,in_pm10_raw,in_temp,in_humi,in_co2,in_voc,in_noise,in_pm10,in_pm25,in_pm01,in_cici_pm10,in_cici_pm25,in_cici_co2,in_cici_voc,in_cici_temp,in_cici_humi,in_cici_noise,in_cici,in_ciai
2020-07-08 08:46,ICW0W2000655,29.0,30.0,33.0,26.4,61.0,587.0,0.0,62.0,33.0,30.0,29.0,89.0,82.0,87.0,100.0,56.0,88.0,67.0,90.0,90.0
2020-07-08 09:19,ICW0W2000655,42.0,46.0,51.0,26.5,64.0,768.0,0.0,68.0,51.0,46.0,42.0,85.0,72.0,84.0,100.0,55.0,87.0,54.0,83.0,83.0
2020-07-08 09:21,ICW0W2000655,39.0,41.0,44.0,27.6,60.0,820.0,0.0,65.0,44.0,41.0,39.0,87.0,75.0,83.0,100.0,45.0,90.0,60.0,84.0,84.0
2020-07-08 09:22,ICW0W2000655,39.0,41.0,44.0,28.3,57.0,703.0,0.0,65.0,44.0,41.0,39.0,87.0,75.0,85.0,100.0,40.0,93.0,60.0,84.0,84.0
2020-07-08 09:23,ICW0W2000655,42.0,44.0,46.0,28.8,55.0,608.0,0.0,64.0,46.0,44.0,42.0,86.0,73.0,87.0,100.0,37.0,95.0,62.0,84.0,84.0
2020-07-08 09:24,ICW0W2000655,39.0,41.0,44.0,29.3,54.0,578.0,0.0,64.0,44.0,41.0,39.0,87.0,75.0,88.0,100.0,33.0,96.0,62.0,85.0,85.0
2020-07-08 09:25,ICW0W2000655,41.0,44.0,48.0,29.6,54.0,553.0,2.0,64.0,48.0,44.0,41.0,86.0,73.0,88.0,100.0,31.0,96.0,62.0,84.0,84.0
2020-07-08 09:26,ICW0W2000655,44.0,46.0,49.0,30.0,52.0,543.0,2.0,64.0,49.0,46.0,44.0,86.0,72.0,88.0,100.0,28.0,98.0,62.0,84.0,84.0
2020-07-08 09:27,ICW0W2000655,45.0,47.0,50.0,30.3,52.0,549.0,2.0,64.0,50.0,47.0,45.0,86.0,71.0,88.0,100.0,26.0,98.0,62.0,83.0,83.0
2020-07-08 09:28,ICW0W2000655,41.0,43.0,46.0,30.7,51.0,551.0,3.0,64.0,46.0,43.0,41.0,86.0,74.0,88.0,100.0,23.0,99.0,62.0,84.0,84.0
2020-07-08 09:29,ICW0W2000655,38.0,40.0,43.0,30.8,51.0,551.0,4.0,64.0,43.0,40.0,38.0,87.0,76.0,88.0,100.0,23.0,99.0,62.0,85.0,85.0
2020-07-08 09:30,ICW0W2000655,38.0,39.0,41.0,30.9,50.0,539.0,2.0,64.0,41.0,39.0,38.0,87.0,77.0,88.0,100.0,22.0,100.0,62.0,86.0,86.0
2020-07-08 09:31,ICW0W2000655,37.0,38.0,39.0,31.1,50.0,541.0,4.0,64.0,39.0,38.0,37.0,88.0,78.0,88.0,100.0,21.0,100.0,62.0,86.0,86.0
2020-07-08 09:32,ICW0W2000655,36.0,37.0,39.0,31.2,50.0,532.0,4.0,65.0,39.0,37.0,36.0,88.0,78.0,88.0,100.0,20.0,100.0,60.0,86.0,86.0
2020-07-08 09:33,ICW0W2000655,37.0,38.0,40.0,31.4,49.0,517.0,6.0,64.0,40.0,38.0,37.0,87.0,78.0,89.0,100.0,18.0,99.0,62.0,86.0,86.0
2020-07-08 09:34,ICW0W2000655,38.0,39.0,41.0,31.7,48.0,523.0,4.0,64.0,41.0,39.0,38.0,87.0,77.0,89.0,100.0,16.0,98.0,62.0,86.0,86.0
2020-07-08 09:35,ICW0W2000655,39.0,40.0,42.0,31.9,48.0,530.0,4.0,64.0,42.0,40.0,39.0,87.0,76.0,88.0,100.0,15.0,98.0,62.0,85.0,85.0
2020-07-08 09:36,ICW0W2000655,39.0,39.0,40.0,32.0,48.0,521.0,5.0,64.0,40.0,39.0,39.0,87.0,77.0,89.0,100.0,14.0,98.0,62.0,86.0,86.0
2020-07-08 09:37,ICW0W2000655,37.0,38.0,40.0,32.1,48.0,533.0,6.0,65.0,40.0,38.0,37.0,87.0,78.0,88.0,100.0,13.0,98.0,60.0,86.0,86.0
2020-07-08 09:38,ICW0W2000655,37.0,38.0,40.0,32.29,47.0,531.0,4.0,65.0,40.0,38.0,37.0,87.0,78.0,88.0,100.0,12.0,97.0,60.0,86.0,86.0
2020-07-08 09:39,ICW0W2000655,35.0,35.0,36.0,32.29,47.0,527.0,4.0,65.0,36.0,35.0,35.0,88.0,80.0,89.0,100.0,12.0,97.0,60.0,89.0,89.0
2020-07-08 09:40,ICW0W2000655,36.0,36.0,37.0,32.4,47.0,520.0,2.0,65.0,37.0,36.0,36.0,88.0,79.0,89.0,100.0,11.0,97.0,60.0,87.0,87.0
2020-07-08 09:41,ICW0W2000655,35.0,36.0,38.0,32.4,47.0,514.0,3.0,64.0,38.0,36.0,35.0,88.0,79.0,89.0,100.0,11.0,97.0,62.0,87.0,87.0
2020-07-08 09:42,ICW0W2000655,33.0,34.0,36.0,32.6,46.0,515.0,3.0,65.0,36.0,34.0,33.0,88.0,80.0,89.0,100.0,10.0,96.0,60.0,89.0,89.0
2020-07-08 09:43,ICW0W2000655,35.0,36.0,38.0,32.7,46.0,515.0,1.0,64.0,38.0,36.0,35.0,88.0,79.0,89.0,100.0,9.0,96.0,62.0,87.0,87.0
2020-07-08 09:44,ICW0W2000655,37.0,38.0,40.0,32.7,46.0,516.0,3.0,64.0,40.0,38.0,37.0,87.0,78.0,89.0,100.0,9.0,96.0,62.0,86.0,86.0
2020-07-08 09:45,ICW0W2000655,37.0,38.0,40.0,32.7,46.0,501.0,2.0,65.0,40.0,38.0,37.0,87.0,78.0,89.0,100.0,9.0,96.0,60.0,86.0,86.0
2020-07-08 09:46,ICW0W2000655,37.0,38.0,40.0,32.7,46.0,502.0,2.0,64.0,40.0,38.0,37.0,87.0,78.0,89.0,100.0,9.0,96.0,62.0,86.0,86.0
2020-07-08 09:47,ICW0W2000655,38.0,39.0,41.0,32.7,46.0,498.0,2.0,64.0,41.0,39.0,38.0,87.0,77.0,90.0,100.0,9.0,96.0,62.0,86.0,86.0
2020-07-08 09:48,ICW0W2000655,39.0,40.0,42.0,32.7,46.0,505.0,2.0,64.0,42.0,40.0,39.0,87.0,76.0,89.0,100.0,9.0,96.0,62.0,86.0,86.0
