in_tm,in_serial,in_pm01_raw,in_pm25_raw,in_pm10_raw,in_temp,in_humi,in_co2,in_voc,in_noise,in_pm10,in_pm25,in_pm01,in_cici_pm10,in_cici_pm25,in_cici_co2,in_cici_voc,in_cici_temp,in_cici_humi,in_cici_noise,in_cici,in_ciai
2020-07-14 09:05,ICW0W2000813,13.0,13.0,13.0,24.4,58.0,554.0,0.0,62.0,13.0,13.0,13.0,96.0,91.0,88.0,100.0,76.0,92.0,67.0,97.0,94.0
2020-07-14 09:47,ICW0W2000813,2.0,2.0,2.0,24.6,55.0,476.0,0.0,71.0,2.0,2.0,2.0,99.0,99.0,90.0,100.0,74.0,95.0,49.0,100.0,97.0
2020-07-14 09:48,ICW0W2000813,1.0,1.0,1.0,24.7,55.0,464.0,0.0,69.0,1.0,1.0,1.0,100.0,99.0,91.0,100.0,73.0,95.0,52.0,100.0,98.0
2020-07-14 09:49,ICW0W2000813,1.0,1.0,1.0,25.1,54.0,480.0,0.0,68.0,1.0,1.0,1.0,100.0,99.0,90.0,100.0,69.0,96.0,54.0,100.0,97.0
2020-07-14 09:50,ICW0W2000813,1.0,1.0,1.0,25.5,52.0,476.0,0.0,68.0,1.0,1.0,1.0,100.0,99.0,90.0,100.0,65.0,98.0,54.0,100.0,97.0
2020-07-14 09:51,ICW0W2000813,1.0,1.0,1.0,25.8,51.0,460.0,0.0,68.0,1.0,1.0,1.0,100.0,99.0,91.0,100.0,62.0,99.0,54.0,100.0,98.0
2020-07-14 09:52,ICW0W2000813,0.0,0.0,0.0,26.1,51.0,443.0,0.0,68.0,0.0,0.0,0.0,100.0,100.0,91.0,100.0,59.0,99.0,54.0,100.0,98.0
2020-07-14 09:53,ICW0W2000813,1.0,1.0,1.0,26.4,50.0,435.0,0.0,69.0,1.0,1.0,1.0,100.0,99.0,91.0,100.0,56.0,100.0,52.0,100.0,98.0
2020-07-14 09:54,ICW0W2000813,1.0,1.0,1.0,26.5,50.0,437.0,0.0,68.0,1.0,1.0,1.0,100.0,99.0,91.0,100.0,55.0,100.0,54.0,100.0,98.0
2020-07-14 09:55,ICW0W2000813,2.0,2.0,2.0,26.8,50.0,434.0,1.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,52.0,100.0,54.0,100.0,97.0
2020-07-14 09:56,ICW0W2000813,2.0,2.0,2.0,27.0,49.0,432.0,2.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,50.0,99.0,54.0,100.0,97.0
2020-07-14 09:57,ICW0W2000813,2.0,2.0,2.0,27.1,49.0,441.0,1.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,49.0,99.0,54.0,97.0,97.0
2020-07-14 09:58,ICW0W2000813,3.0,3.0,3.0,27.5,48.0,436.0,1.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,46.0,98.0,54.0,97.0,97.0
2020-07-14 09:59,ICW0W2000813,2.0,2.0,2.0,27.4,48.0,430.0,1.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,47.0,98.0,54.0,97.0,97.0
2020-07-14 10:00,ICW0W2000813,3.0,3.0,3.0,27.5,48.0,424.0,3.0,68.0,3.0,3.0,3.0,99.0,98.0,92.0,100.0,46.0,98.0,54.0,97.0,97.0
2020-07-14 10:01,ICW0W2000813,3.0,3.0,3.0,27.7,47.0,433.0,3.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,45.0,97.0,54.0,97.0,97.0
2020-07-14 10:02,ICW0W2000813,3.0,3.0,3.0,27.8,47.0,426.0,3.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,44.0,97.0,54.0,97.0,97.0
2020-07-14 10:03,ICW0W2000813,2.0,2.0,2.0,28.0,47.0,429.0,5.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,43.0,97.0,54.0,97.0,97.0
2020-07-14 10:04,ICW0W2000813,3.0,3.0,3.0,28.0,46.0,434.0,2.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,43.0,96.0,54.0,97.0,97.0
2020-07-14 10:05,ICW0W2000813,4.0,4.0,4.0,28.1,46.0,428.0,3.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,42.0,96.0,54.0,97.0,97.0
2020-07-14 10:06,ICW0W2000813,4.0,4.0,4.0,28.3,46.0,434.0,19.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,99.0,40.0,96.0,54.0,97.0,97.0
2020-07-14 10:07,ICW0W2000813,3.0,3.0,3.0,28.4,46.0,449.0,16.0,67.0,3.0,3.0,3.0,99.0,98.0,91.0,99.0,40.0,96.0,56.0,97.0,97.0
2020-07-14 10:08,ICW0W2000813,4.0,4.0,4.0,28.5,45.0,462.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,39.0,95.0,54.0,97.0,97.0
2020-07-14 10:09,ICW0W2000813,4.0,4.0,4.0,28.6,45.0,438.0,1.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,38.0,95.0,54.0,97.0,97.0
2020-07-14 10:10,ICW0W2000813,4.0,4.0,4.0,28.6,45.0,440.0,2.0,67.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,38.0,95.0,56.0,97.0,97.0
2020-07-14 10:11,ICW0W2000813,5.0,5.0,5.0,28.7,45.0,433.0,5.0,68.0,5.0,5.0,5.0,98.0,97.0,91.0,100.0,38.0,95.0,54.0,97.0,97.0
2020-07-14 10:12,ICW0W2000813,4.0,4.0,4.0,28.6,45.0,431.0,3.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,38.0,95.0,54.0,97.0,97.0
2020-07-14 10:13,ICW0W2000813,3.0,3.0,3.0,28.6,45.0,429.0,3.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,38.0,95.0,54.0,97.0,97.0
2020-07-14 10:14,ICW0W2000813,2.0,2.0,2.0,28.4,45.0,427.0,1.0,67.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,40.0,95.0,56.0,97.0,97.0
2020-07-14 10:15,ICW0W2000813,2.0,2.0,2.0,28.5,45.0,422.0,3.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,39.0,95.0,54.0,98.0,98.0
2020-07-14 10:16,ICW0W2000813,3.0,3.0,3.0,28.5,45.0,429.0,4.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,39.0,95.0,54.0,97.0,97.0
2020-07-14 10:17,ICW0W2000813,9.0,9.0,9.0,28.6,45.0,426.0,3.0,68.0,9.0,9.0,9.0,97.0,94.0,91.0,100.0,38.0,95.0,54.0,96.0,96.0
2020-07-14 10:18,ICW0W2000813,5.0,5.0,5.0,28.7,45.0,424.0,1.0,68.0,5.0,5.0,5.0,98.0,97.0,92.0,100.0,38.0,95.0,54.0,97.0,97.0
2020-07-14 10:19,ICW0W2000813,4.0,4.0,4.0,28.9,44.0,427.0,3.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,36.0,94.0,54.0,97.0,97.0
2020-07-14 10:20,ICW0W2000813,4.0,4.0,4.0,28.8,45.0,434.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,37.0,95.0,54.0,97.0,97.0
2020-07-14 10:21,ICW0W2000813,4.0,4.0,4.0,28.9,44.0,429.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,36.0,94.0,54.0,97.0,97.0
2020-07-14 10:22,ICW0W2000813,5.0,5.0,5.0,28.9,44.0,435.0,2.0,69.0,5.0,5.0,5.0,98.0,97.0,91.0,100.0,36.0,94.0,52.0,97.0,97.0
2020-07-14 10:23,ICW0W2000813,5.0,5.0,5.0,29.1,44.0,431.0,4.0,68.0,5.0,5.0,5.0,98.0,97.0,91.0,100.0,35.0,94.0,54.0,97.0,97.0
2020-07-14 10:24,ICW0W2000813,4.0,4.0,4.0,29.0,44.0,427.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,36.0,94.0,54.0,97.0,97.0
2020-07-14 10:25,ICW0W2000813,3.0,3.0,4.0,28.9,45.0,442.0,9.0,68.0,4.0,3.0,3.0,99.0,98.0,91.0,100.0,36.0,95.0,54.0,97.0,97.0
2020-07-14 10:26,ICW0W2000813,4.0,4.0,4.0,28.8,45.0,442.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,37.0,95.0,54.0,97.0,97.0
2020-07-14 10:27,ICW0W2000813,3.0,3.0,4.0,28.8,45.0,432.0,3.0,68.0,4.0,3.0,3.0,99.0,98.0,91.0,100.0,37.0,95.0,54.0,97.0,97.0
2020-07-14 10:28,ICW0W2000813,3.0,3.0,3.0,28.9,44.0,424.0,1.0,68.0,3.0,3.0,3.0,99.0,98.0,92.0,100.0,36.0,94.0,54.0,97.0,97.0
2020-07-14 10:29,ICW0W2000813,2.0,2.0,2.0,28.8,45.0,422.0,5.0,69.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,37.0,95.0,52.0,98.0,98.0
2020-07-14 10:30,ICW0W2000813,2.0,2.0,2.0,29.2,44.0,441.0,3.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,34.0,94.0,54.0,97.0,97.0
2020-07-14 10:31,ICW0W2000813,2.0,2.0,2.0,29.3,44.0,456.0,5.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,33.0,94.0,54.0,97.0,97.0
2020-07-14 10:32,ICW0W2000813,4.0,4.0,4.0,29.3,44.0,450.0,2.0,68.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,33.0,94.0,54.0,97.0,97.0
2020-07-14 10:33,ICW0W2000813,2.0,2.0,2.0,29.2,43.0,430.0,2.0,68.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,34.0,93.0,54.0,97.0,97.0
2020-07-14 10:34,ICW0W2000813,2.0,2.0,2.0,29.3,43.0,428.0,6.0,69.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,33.0,93.0,52.0,97.0,97.0
2020-07-14 10:35,ICW0W2000813,2.0,2.0,2.0,29.2,44.0,436.0,5.0,67.0,2.0,2.0,2.0,99.0,99.0,91.0,100.0,34.0,94.0,56.0,97.0,97.0
2020-07-14 10:36,ICW0W2000813,3.0,3.0,3.0,29.0,44.0,430.0,4.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,36.0,94.0,54.0,97.0,97.0
2020-07-14 10:37,ICW0W2000813,4.0,4.0,4.0,29.3,43.0,428.0,2.0,67.0,4.0,4.0,4.0,99.0,97.0,91.0,100.0,33.0,93.0,56.0,97.0,97.0
2020-07-14 10:38,ICW0W2000813,3.0,3.0,3.0,29.4,44.0,429.0,9.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,33.0,94.0,54.0,97.0,97.0
2020-07-14 10:39,ICW0W2000813,3.0,3.0,3.0,29.4,43.0,435.0,3.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,33.0,93.0,54.0,97.0,97.0
2020-07-14 10:40,ICW0W2000813,3.0,3.0,3.0,29.5,43.0,428.0,2.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,32.0,93.0,54.0,97.0,97.0
2020-07-14 10:41,ICW0W2000813,3.0,3.0,3.0,29.4,43.0,431.0,2.0,68.0,3.0,3.0,3.0,99.0,98.0,91.0,100.0,33.0,93.0,54.0,97.0,97.0
2020-07-14 10:42,ICW0W2000813,3.0,3.0,3.0,29.0,43.0,412.0,1.0,68.0,3.0,3.0,3.0,99.0,98.0,92.0,100.0,36.0,93.0,54.0,97.0,97.0
2020-07-14 10:43,ICW0W2000813,2.0,2.0,2.0,28.8,44.0,410.0,1.0,69.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,37.0,94.0,52.0,98.0,98.0
2020-07-14 10:44,ICW0W2000813,2.0,2.0,2.0,28.8,44.0,410.0,4.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,37.0,94.0,54.0,98.0,98.0
2020-07-14 10:45,ICW0W2000813,2.0,2.0,2.0,28.8,44.0,406.0,4.0,69.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,37.0,94.0,52.0,98.0,98.0
2020-07-14 10:46,ICW0W2000813,2.0,2.0,2.0,28.9,44.0,405.0,2.0,67.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,94.0,56.0,98.0,98.0
2020-07-14 10:47,ICW0W2000813,1.0,1.0,1.0,28.9,43.0,407.0,2.0,68.0,1.0,1.0,1.0,100.0,99.0,92.0,100.0,36.0,93.0,54.0,98.0,98.0
2020-07-14 10:48,ICW0W2000813,2.0,2.0,2.0,28.9,44.0,409.0,3.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,94.0,54.0,98.0,98.0
2020-07-14 10:49,ICW0W2000813,2.0,2.0,2.0,28.8,44.0,405.0,3.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,37.0,94.0,54.0,98.0,98.0
2020-07-14 10:50,ICW0W2000813,2.0,2.0,2.0,28.9,44.0,407.0,7.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,94.0,54.0,98.0,98.0
2020-07-14 10:51,ICW0W2000813,2.0,2.0,2.0,29.0,44.0,401.0,5.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,94.0,54.0,98.0,98.0
2020-07-14 10:52,ICW0W2000813,2.0,2.0,2.0,29.0,43.0,411.0,0.0,67.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,93.0,56.0,98.0,98.0
2020-07-14 10:53,ICW0W2000813,2.0,2.0,2.0,29.0,43.0,401.0,5.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,93.0,54.0,98.0,98.0
2020-07-14 10:54,ICW0W2000813,2.0,2.0,2.0,28.9,44.0,400.0,3.0,68.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,94.0,54.0,98.0,98.0
2020-07-14 10:55,ICW0W2000813,2.0,2.0,2.0,29.0,43.0,395.0,2.0,69.0,2.0,2.0,2.0,99.0,99.0,92.0,100.0,36.0,93.0,52.0,98.0,98.0
2020-07-14 10:56,ICW0W2000813,1.0,1.0,1.0,29.0,43.0,399.0,2.0,68.0,1.0,1.0,1.0,100.0,99.0,92.0,100.0,36.0,93.0,54.0,98.0,98.0
2020-07-14 10:57,ICW0W2000813,1.0,1.0,1.0,29.0,43.0,399.0,1.0,68.0,1.0,1.0,1.0,100.0,99.0,92.0,100.0,36.0,93.0,54.0,98.0,98.0
